,Unnamed: 0,state,district,block,panchayat,village,stateCode,districtCode,blockCode,panchayatCode,locationType,name,slug,finyear,value,textValue,lastUpdateDate
54,8154,ANDHRA PRADESH,ANANTAPUR,Talupula,,,2,212,212039.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,383271.0,383271.0,2019-10-18
55,8302,ANDHRA PRADESH,ANANTAPUR,Tanakal,,,2,212,212041.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,256443.0,256443.0,2019-10-18
56,8450,ANDHRA PRADESH,ANANTAPUR,Uravakonda,,,2,212,212015.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,254749.0,254749.0,2019-10-18
57,8598,ANDHRA PRADESH,ANANTAPUR,Vajrakarur,,,2,212,212004.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,510202.0,510202.0,2019-10-18
58,8746,ANDHRA PRADESH,ANANTAPUR,Vidapanakal,,,2,212,212003.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,329157.0,329157.0,2019-10-18
59,8894,ANDHRA PRADESH,ANANTAPUR,Yadiki,,,2,212,212008.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,386566.0,386566.0,2019-10-18
60,9042,ANDHRA PRADESH,ANANTAPUR,Yellanur,,,2,212,212029.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,537140.0,537140.0,2019-10-18
61,162,ANDHRA PRADESH,CHITTOOR,B Kothakota,,,2,210,210005.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,174082.0,174082.0,2019-10-18
62,310,ANDHRA PRADESH,CHITTOOR,Baireddi Palle,,,2,210,210061.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,238621.0,238621.0,2019-10-18
63,458,ANDHRA PRADESH,CHITTOOR,Bangarupalem,,,2,210,210057.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,224443.0,224443.0,2019-10-18
64,606,ANDHRA PRADESH,CHITTOOR,Buchinaidu Khandriga,,,2,210,210016.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,306611.0,306611.0,2019-10-18
65,754,ANDHRA PRADESH,CHITTOOR,Chandragiri,,,2,210,210028.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,281406.0,281406.0,2019-10-18
66,902,ANDHRA PRADESH,CHITTOOR,Chinnagottigallu,,,2,210,210029.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,320628.0,320628.0,2019-10-18
67,1050,ANDHRA PRADESH,CHITTOOR,Chittoor,,,2,210,210054.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,174722.0,174722.0,2019-10-18
68,1198,ANDHRA PRADESH,CHITTOOR,Chowdepalle,,,2,210,210038.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,137144.0,137144.0,2019-10-18
69,1346,ANDHRA PRADESH,CHITTOOR,Gangadhara Nellore,,,2,210,210049.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,241465.0,241465.0,2019-10-18
70,1494,ANDHRA PRADESH,CHITTOOR,Gangavaram,,,2,210,210059.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,273981.0,273981.0,2019-10-18
71,1642,ANDHRA PRADESH,CHITTOOR,Gudi Palle,,,2,210,210065.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,337255.0,337255.0,2019-10-18
72,1790,ANDHRA PRADESH,CHITTOOR,Gudipala,,,2,210,210055.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,144127.0,144127.0,2019-10-18
73,1938,ANDHRA PRADESH,CHITTOOR,Gurramkonda,,,2,210,210007.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,232527.0,232527.0,2019-10-18
74,2086,ANDHRA PRADESH,CHITTOOR,Irala,,,2,210,210052.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,302112.0,302112.0,2019-10-18
75,2234,ANDHRA PRADESH,CHITTOOR,K V B Puram,,,2,210,210023.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,270477.0,270477.0,2019-10-18
76,2382,ANDHRA PRADESH,CHITTOOR,Kalakada,,,2,210,210008.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,269426.0,269426.0,2019-10-18
77,2530,ANDHRA PRADESH,CHITTOOR,Kambhamvaripalle,,,2,210,210009.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,254651.0,254651.0,2019-10-18
